nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf-4.4.4\lock
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-11-27T21:52:10,969 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-api - 2.2.3 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-11-27T21:52:11,788 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 | Refreshing bundles:
2023-11-27T21:52:11,788 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |     org.apache.karaf.config.core/4.4.4 (Should be wired to: org.apache.karaf.shell.core/4.4.4 (through [org.apache.karaf.config.core [16](R 16.0)] osgi.wiring.package; (&(osgi.wiring.package=org.apache.karaf.shell.api.action)(version>=4.4.0)(!(version>=5.0.0)))))
2023-11-27T21:52:11,867 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 | Starting bundles:
2023-11-27T21:52:11,868 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.ops4j.pax.url.wrap/2.6.14
2023-11-27T21:52:11,873 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.config.core/4.4.4
2023-11-27T21:52:11,881 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.aries.util/1.1.3
2023-11-27T21:52:11,882 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.deployer.kar/4.4.4
2023-11-27T21:52:11,886 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.deployer.wrap/4.4.4
2023-11-27T21:52:11,890 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.deployer.features/4.4.4
2023-11-27T21:52:11,901 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.jaas.config/4.4.4
2023-11-27T21:52:11,907 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   bcprov/1.75.0
2023-11-27T21:52:11,908 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   bcutil/1.75.0
2023-11-27T21:52:11,909 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   bcpkix/1.75.0
2023-11-27T21:52:11,910 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.sshd.osgi/2.10.0
2023-11-27T21:52:11,911 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.sshd.scp/2.10.0
2023-11-27T21:52:11,912 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.sshd.sftp/2.10.0
2023-11-27T21:52:11,912 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.jline/3.21.0
2023-11-27T21:52:11,913 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.shell.core/4.4.4
2023-11-27T21:52:11,959 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.config.core/4.4.4
2023-11-27T21:52:11,984 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.deployer.kar/4.4.4
2023-11-27T21:52:12,509 | INFO  | fileinstall-C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf-4.4.4/deploy | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Installing bundle C__Users_matia_OneDrive_Escritorio_karaf_apache-karaf / 4.4.0
2023-11-27T21:52:12,545 | WARN  | fileinstall-C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf-4.4.4/deploy | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | A bundle with the same symbolic name (C__Users_matia_OneDrive_Escritorio_karaf_apache-karaf) and version (4.4) is already installed.  Updating this bundle instead.
2023-11-27T21:52:12,568 | INFO  | fileinstall-C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf-4.4.4/deploy | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Started bundle: wrap:jardir:C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf-4.4.4\deploy\programaTwo$Bundle-SymbolicName=C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf&Bundle-Version=4.4
2023-11-27T21:52:12,617 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.system.core/4.4.4
2023-11-27T21:52:12,628 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.system.core/4.4.4
2023-11-27T21:52:12,629 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.aries.jmx.whiteboard/1.2.0
2023-11-27T21:52:12,633 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.diagnostic.core/4.4.4
2023-11-27T21:52:12,640 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.4.4
2023-11-27T21:52:12,640 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.jaas.modules/4.4.4
2023-11-27T21:52:12,648 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.features.command/4.4.4
2023-11-27T21:52:12,663 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.features.command/4.4.4
2023-11-27T21:52:12,664 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.instance.core/4.4.4
2023-11-27T21:52:12,682 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.instance.core/4.4.4
2023-11-27T21:52:12,682 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.management.server/4.4.4
2023-11-27T21:52:12,689 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.kar.core/4.4.4
2023-11-27T21:52:12,689 | INFO  | activator-1-thread-1 | Activator                        | 40 - org.apache.karaf.management.server - 4.4.4 | Setting java.rmi.server.hostname system property to 127.0.0.1
2023-11-27T21:52:12,696 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Command registration delayed for bundle org.apache.karaf.kar.core/4.4.4. Missing service: [org.apache.karaf.kar.KarService]
2023-11-27T21:52:12,697 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.service.core/4.4.4
2023-11-27T21:52:12,697 | INFO  | activator-1-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.kar.core/4.4.4
2023-11-27T21:52:12,711 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.service.core/4.4.4
2023-11-27T21:52:12,711 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.shell.commands/4.4.4
2023-11-27T21:52:12,727 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.4
2023-11-27T21:52:12,728 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.aries.jmx.api/1.1.5
2023-11-27T21:52:12,730 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.jaas.command/4.4.4
2023-11-27T21:52:12,752 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.jaas.command/4.4.4
2023-11-27T21:52:12,754 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.4
